word,FY,counter,funding,Division
agriculture,18,1,102022,Grants
analysis,18,1,102022,Grants
block,17,1,142114,Grants
crop,17,1,142114,Grants
data,18,1,102022,Grants
department,18,1,102022,Grants
development,19,1,114091.17,Grants
evaluation,17,2,245157.63,Grants
evaluation,18,1,102022,Grants
facilitate,19,1,114091.17,Grants
farmers,17,1,103043.63,Grants
federal,18,1,102022,Grants
feedback,19,1,114091.17,Grants
food,17,1,103043.63,Grants
grant,17,2,245157.63,Grants
improvement,18,1,102022,Grants
independent,17,1,142114,Grants
local,17,1,103043.63,Grants
market,17,1,103043.63,Grants
marketing,18,1,102022,Grants
measures,19,1,114091.17,Grants
performance,19,1,114091.17,Grants
program,17,3,348201.26,Grants
program,18,1,102022,Grants
promotion,17,1,103043.63,Grants
scbgp,19,1,114091.17,Grants
specialty,17,1,142114,Grants
stakeholder,19,1,114091.17,Grants
united,18,1,102022,Grants
acceptance,19,2,270000,Marketing
access,16,1,54000,Marketing
activities,12,1,250000,Marketing
added,17,1,1e+05,Marketing
added,18,2,88275,Marketing
advancing,17,1,29997.5,Marketing
advisement,19,1,70000,Marketing
ag,17,1,27500,Marketing
ag,18,2,88275,Marketing
ag,19,2,57500,Marketing
agricultural,17,1,80000,Marketing
agricultural,18,1,52800,Marketing
agriculture,16,1,1e+05,Marketing
agriculture,19,1,10000,Marketing
aides,16,2,140315,Marketing
analysis,16,3,179119,Marketing
app,16,1,1e+05,Marketing
ars,12,1,50000,Marketing
ascertaining,19,1,99525,Marketing
assessing,18,1,25616,Marketing
assessing,19,1,99525,Marketing
assessment,18,1,74699,Marketing
beginning,17,1,45361,Marketing
benchmark,18,1,25616,Marketing
benefit,18,1,74699,Marketing
bucks,16,1,1e+05,Marketing
business,19,1,133200,Marketing
buyer,19,2,270000,Marketing
calculator,18,1,25616,Marketing
certification,12,1,250000,Marketing
certification,17,1,27500,Marketing
certifications,19,2,270000,Marketing
chain,17,1,1e+05,Marketing
changed,12,1,14950,Marketing
collaborative,16,1,120000,Marketing
collection,12,1,2e+05,Marketing
collection,18,1,1e+05,Marketing
college,16,1,50000,Marketing
community,17,1,29997.5,Marketing
communtiy,16,2,140315,Marketing
competencies,19,1,99525,Marketing
conference,16,2,240000,Marketing
conference,17,1,80000,Marketing
conference,18,2,88275,Marketing
conference,19,1,12000,Marketing
consumer,17,1,1e+05,Marketing
convergence,19,1,10000,Marketing
core,19,1,99525,Marketing
creating,16,1,1e+05,Marketing
curriculum,19,1,99525,Marketing
data,12,1,2e+05,Marketing
data,18,2,125616,Marketing
demand,17,1,1e+05,Marketing
development,19,1,70000,Marketing
digit,12,1,50000,Marketing
direct,17,1,80000,Marketing
direct,19,1,47500,Marketing
directories,16,1,1e+05,Marketing
directory,15,1,,Marketing
directory,16,2,2e+05,Marketing
directory,18,1,1e+05,Marketing
discovery,15,2,2e+05,Marketing
discovery,17,1,25000,Marketing
double,16,1,1e+05,Marketing
dynamics,19,1,133200,Marketing
economic,18,4,151547,Marketing
economic,19,1,133200,Marketing
economics,17,1,29997.5,Marketing
ecosystem,19,1,133200,Marketing
education,18,1,39573,Marketing
education,19,1,10000,Marketing
educator,16,1,1e+05,Marketing
educators,17,1,29997.5,Marketing
educators,19,1,1e+05,Marketing
enhancements,16,1,1e+05,Marketing
enhancements,18,1,1e+05,Marketing
enrichment,16,1,50000,Marketing
epa,12,1,150000,Marketing
evaluation,16,1,1e+05,Marketing
exploring,19,1,133200,Marketing
extension,17,1,29997.5,Marketing
extension's,19,1,99525,Marketing
facilitate,16,1,1e+05,Marketing
famers,12,1,14950,Marketing
farm,16,1,54000,Marketing
farm,17,1,27500,Marketing
farm,18,1,52800,Marketing
farm,19,2,196704,Marketing
farmer,17,1,1e+05,Marketing
farmers,12,1,2e+05,Marketing
farmers,15,1,1e+05,Marketing
farmers,16,6,312238,Marketing
farmers,17,2,70361,Marketing
farmers,19,1,1e+05,Marketing
farms,18,1,75042,Marketing
farner,12,1,250000,Marketing
financial,12,1,50000,Marketing
findings,18,1,39573,Marketing
flint,16,1,1e+05,Marketing
fo,16,1,1e+05,Marketing
food,12,2,164950,Marketing
food,15,1,,Marketing
food,16,8,794000,Marketing
food,17,2,57497.5,Marketing
food,18,3,178416,Marketing
food,19,6,487925,Marketing
forum,19,1,10000,Marketing
fresh,18,1,74699,Marketing
functions,16,1,1e+05,Marketing
funders,19,1,10000,Marketing
gap,12,1,250000,Marketing
gap,18,1,75042,Marketing
gap,19,3,370000,Marketing
georgia,18,1,74699,Marketing
geospatial,16,1,1e+05,Marketing
gis,16,1,1e+05,Marketing
groupgap,19,1,70000,Marketing
harmonized,18,1,75042,Marketing
helping,18,1,75042,Marketing
hubs,12,1,14950,Marketing
identifying,19,1,99525,Marketing
impact,18,2,51232,Marketing
implications,19,1,133200,Marketing
incentive,16,2,79119,Marketing
initiative,12,1,1e+05,Marketing
initiative,18,1,74699,Marketing
institute,19,1,96704,Marketing
institution,19,1,1e+05,Marketing
integrating,16,2,140315,Marketing
intro,19,1,1e+05,Marketing
introduction,18,1,52800,Marketing
investment,16,1,48750,Marketing
iphone,17,1,25000,Marketing
learned,16,1,48750,Marketing
lessons,16,1,48750,Marketing
lflp,12,1,1e+05,Marketing
local,12,2,3e+05,Marketing
local,15,2,,Marketing
local,16,7,688750,Marketing
local,17,1,29997.5,Marketing
local,18,3,165189,Marketing
local,19,1,99525,Marketing
maintenance,16,1,1e+05,Marketing
management,12,1,250000,Marketing
management,19,1,70000,Marketing
manual,19,1,70000,Marketing
maps,16,1,1e+05,Marketing
market,12,2,214950,Marketing
market,15,1,1e+05,Marketing
market,16,4,233119,Marketing
market,17,1,25000,Marketing
market,18,1,74699,Marketing
market,19,1,133200,Marketing
marketing,12,1,2e+05,Marketing
marketing,17,1,80000,Marketing
marketing,19,3,347025,Marketing
markets,16,2,79119,Marketing
material,18,1,25616,Marketing
maximize,16,1,54000,Marketing
md,16,1,29119,Marketing
meat,16,1,48750,Marketing
meat,18,1,39573,Marketing
metrics,16,2,240000,Marketing
metrics,19,1,96704,Marketing
mi,16,2,150000,Marketing
midwest,17,1,29997.5,Marketing
mobile,16,1,1e+05,Marketing
nal,12,1,50000,Marketing
national,12,1,2e+05,Marketing
national,15,1,,Marketing
national,16,1,1e+05,Marketing
national,17,1,80000,Marketing
national,18,2,88275,Marketing
national,19,3,156204,Marketing
natl,19,1,99525,Marketing
network,19,1,12000,Marketing
nfmmos,12,1,2e+05,Marketing
Å“programming,17,1,25000,Marketing
organization,12,1,2e+05,Marketing
outreach,17,1,45361,Marketing
outreach,18,2,65189,Marketing
phase,17,1,1e+05,Marketing
pilot,12,1,250000,Marketing
planners,17,1,29997.5,Marketing
planning,16,2,140315,Marketing
platform,18,1,1e+05,Marketing
poultry,16,1,48750,Marketing
poultry,18,1,39573,Marketing
practices,17,1,27500,Marketing
practices,18,1,52800,Marketing
practices,19,1,99525,Marketing
price,15,1,1e+05,Marketing
price,17,1,25000,Marketing
processing,16,1,48750,Marketing
processing,18,1,39573,Marketing
profitability,17,1,1e+05,Marketing
program,16,4,229119,Marketing
program,18,1,75042,Marketing
program,19,1,10000,Marketing
programs,16,1,54000,Marketing
promotion,16,1,1e+05,Marketing
public,16,1,48750,Marketing
publication,12,1,2e+05,Marketing
quality,12,1,250000,Marketing
quality,19,1,70000,Marketing
reasearch,19,1,70000,Marketing
recommendations,17,1,45361,Marketing
recommendations,19,1,2e+05,Marketing
reference,12,1,2e+05,Marketing
regional,16,1,48750,Marketing
regional,18,1,39573,Marketing
regional,19,1,133200,Marketing
relations,19,1,2e+05,Marketing
reporting,15,2,2e+05,Marketing
reporting,16,1,1e+05,Marketing
reporting,17,1,25000,Marketing
research,17,1,45361,Marketing
research,18,1,39573,Marketing
research,19,2,210000,Marketing
resources,18,1,25616,Marketing
retail,17,1,1e+05,Marketing
retailer,19,1,2e+05,Marketing
round,12,1,150000,Marketing
round,18,1,52800,Marketing
safety,17,1,27500,Marketing
safety,18,1,52800,Marketing
safety,19,1,1e+05,Marketing
sales,16,1,54000,Marketing
sare,19,1,10000,Marketing
southern,16,1,50000,Marketing
spaces,17,1,45361,Marketing
spanish,15,1,1e+05,Marketing
spatial,16,1,1e+05,Marketing
start,19,1,133200,Marketing
stop,18,1,74699,Marketing
student,16,1,50000,Marketing
study,18,1,25616,Marketing
succeed,18,1,75042,Marketing
summary,12,1,2e+05,Marketing
summit,19,1,47500,Marketing
supply,17,1,1e+05,Marketing
support,12,1,50000,Marketing
supporting,19,1,133200,Marketing
survey,12,1,2e+05,Marketing
survey,15,1,,Marketing
survey,16,1,1e+05,Marketing
sustainability,16,1,120000,Marketing
sustainable,19,2,20000,Marketing
system,15,2,2e+05,Marketing
system,16,1,1e+05,Marketing
system,17,1,25000,Marketing
system,19,2,80000,Marketing
systems,12,1,250000,Marketing
systems,17,1,29997.5,Marketing
systems,18,1,25616,Marketing
targeting,16,1,54000,Marketing
tool,16,1,1e+05,Marketing
toolkit,16,2,140315,Marketing
tools,18,1,25616,Marketing
top,12,1,50000,Marketing
tourism,16,1,1e+05,Marketing
training,17,1,27500,Marketing
training,18,2,78416,Marketing
trainings,19,1,1e+05,Marketing
translation,15,1,1e+05,Marketing
university,16,1,50000,Marketing
university,19,1,99525,Marketing
update,15,1,,Marketing
update,16,1,1e+05,Marketing
ups,19,1,133200,Marketing
urban,17,1,45361,Marketing
usda,15,1,,Marketing
usda,16,1,1e+05,Marketing
usda,18,2,175042,Marketing
usda,19,2,270000,Marketing
usda's,15,1,1e+05,Marketing
usdas,16,1,1e+05,Marketing
vendors,16,2,79119,Marketing
viability,16,1,54000,Marketing
yr,16,2,140315,Marketing
2nd,14,1,25000,Transportation
3rd,16,1,25000,Transportation
adequacy,14,1,51432,Transportation
ag,14,1,45000,Transportation
ag,15,1,54000,Transportation
ag,16,2,88000,Transportation
ag,17,1,81000,Transportation
ag,18,1,81000,Transportation
ag,19,1,81000,Transportation
agricultural,12,1,254000,Transportation
agricultural,14,2,63500,Transportation
agricultural,15,2,118750,Transportation
agricultural,16,1,63540,Transportation
agricultural,17,4,560300,Transportation
agricultural,18,4,424342,Transportation
agricultural,19,1,79950,Transportation
agriculture,16,1,83378,Transportation
agriculture,18,3,203408,Transportation
alabama,17,1,92727,Transportation
ams,12,2,276500,Transportation
ams,17,1,34870,Transportation
analysis,14,1,25000,Transportation
analysis,17,1,184839,Transportation
analysis,18,2,168144,Transportation
analysis,19,1,21480,Transportation
anr,17,1,37513,Transportation
assessing,17,1,33000,Transportation
availability,19,1,79950,Transportation
barge,18,2,136092,Transportation
barriers,18,1,102144,Transportation
based,18,1,14700,Transportation
basis,14,1,25000,Transportation
basis,19,1,97832,Transportation
benefits,18,1,14700,Transportation
border,15,1,80000,Transportation
brazil,14,1,20000,Transportation
brazil,15,1,25000,Transportation
brazil,16,1,25000,Transportation
brazil,17,1,31000,Transportation
brazil,18,1,25000,Transportation
brazil,19,1,31000,Transportation
california,19,1,79950,Transportation
canada,16,1,63800,Transportation
capacity,17,1,118705,Transportation
carrier,19,1,78650,Transportation
center,14,1,38500,Transportation
center,15,1,38750,Transportation
central,19,1,155794,Transportation
chain,19,1,21480,Transportation
chains,15,1,80000,Transportation
change:a,16,1,63800,Transportation
chassis,19,1,79950,Transportation
collection,16,1,41800,Transportation
collection,17,1,69476,Transportation
collection,18,1,89142,Transportation
commodity,17,1,61724,Transportation
common,19,1,78650,Transportation
communicating,18,1,185700,Transportation
comparison,16,1,63800,Transportation
competition,14,1,35000,Transportation
competition,16,1,118000,Transportation
competition,17,1,61724,Transportation
competition,18,1,66000,Transportation
complex,14,1,35000,Transportation
conference,16,1,25000,Transportation
confernece,14,1,25000,Transportation
consultation,19,1,21480,Transportation
container,16,1,63540,Transportation
container,17,1,80387,Transportation
containerized,15,1,48500,Transportation
containerized,19,1,79950,Transportation
containers,16,1,63540,Transportation
corn,15,1,85146,Transportation
corn,18,1,185700,Transportation
corn,19,2,119312,Transportation
corridors,17,1,118705,Transportation
cost,15,1,48500,Transportation
cost,18,1,185700,Transportation
costs,18,2,278408,Transportation
data,12,1,22500,Transportation
data,14,1,20000,Transportation
data,15,1,25000,Transportation
data,16,1,25000,Transportation
data,17,1,31000,Transportation
data,18,1,25000,Transportation
data,19,1,31000,Transportation
demands,18,1,70092,Transportation
determinants,18,1,52427,Transportation
differential,18,1,92708,Transportation
dynamic,16,1,118000,Transportation
economics,17,1,184839,Transportation
economies,18,1,92708,Transportation
effects,18,1,83500,Transportation
efficient,18,1,102144,Transportation
elements,18,1,185700,Transportation
empty,16,1,63540,Transportation
engagement,17,2,372119,Transportation
estimate,18,1,14700,Transportation
estimated,14,1,35000,Transportation
estimating,18,1,70092,Transportation
evaluation,18,1,89142,Transportation
exploring,18,1,83500,Transportation
export,16,1,83378,Transportation
export,18,1,52427,Transportation
exports,15,1,48500,Transportation
exports,19,1,79950,Transportation
farm,18,1,70092,Transportation
farm,19,2,177274,Transportation
fleet,19,1,155794,Transportation
flows,18,1,52427,Transportation
food,14,1,62958,Transportation
foods,17,1,34870,Transportation
freight,14,1,62958,Transportation
freight,15,1,48500,Transportation
freight,17,1,118705,Transportation
gateways,16,1,83378,Transportation
gathering,19,1,155794,Transportation
geospatial,18,1,102144,Transportation
gis,12,1,22500,Transportation
grain,14,1,25000,Transportation
grain,16,3,224800,Transportation
grain,17,1,33000,Transportation
grain,18,4,332855,Transportation
gtr,14,1,25000,Transportation
gtr,16,1,41800,Transportation
gtr,17,1,69476,Transportation
handbook,17,1,34870,Transportation
handling,16,1,63800,Transportation
identification,12,1,254000,Transportation
identifying,18,1,185700,Transportation
impact,15,1,85146,Transportation
impact,19,1,97832,Transportation
impacts,14,2,70000,Transportation
implication,17,1,118705,Transportation
implications,18,1,52427,Transportation
importance,18,1,96000,Transportation
imporvement,15,1,85146,Transportation
improvement,14,1,35000,Transportation
increased,18,1,83500,Transportation
indicator,14,1,25000,Transportation
industry,17,1,92727,Transportation
information,14,1,38500,Transportation
information,15,1,38750,Transportation
information,16,1,41800,Transportation
information,17,1,69476,Transportation
information,18,1,89142,Transportation
information,19,1,155794,Transportation
infrastructure,14,1,35000,Transportation
infrastructure,16,1,83378,Transportation
infrastructure,17,2,372119,Transportation
infrastructure,18,2,67127,Transportation
inland,15,1,85146,Transportation
inland,18,1,96000,Transportation
intermodal,19,1,79950,Transportation
international,15,1,48500,Transportation
intramodal,14,1,35000,Transportation
intrastructure,15,1,80000,Transportation
investment,16,1,83378,Transportation
investment,18,1,52427,Transportation
joint,18,1,70092,Transportation
key,17,1,33000,Transportation
line,16,1,43000,Transportation
logisitcs,16,1,63540,Transportation
maintenance,12,1,22500,Transportation
manual,17,1,37513,Transportation
mapping,12,1,254000,Transportation
market,17,2,66000,Transportation
market,19,1,155794,Transportation
markets,18,1,83500,Transportation
mechisms,16,1,118000,Transportation
met,14,1,35000,Transportation
mexcian,14,1,35000,Transportation
mexico,15,1,80000,Transportation
mid,19,1,97832,Transportation
midwest,19,1,155794,Transportation
modeling,16,1,83378,Transportation
movement,18,1,102144,Transportation
movements,18,1,70092,Transportation
multimodal,12,1,254000,Transportation
north,17,1,92727,Transportation
northwest,17,1,80387,Transportation
obligation,19,1,78650,Transportation
perishable,17,1,34870,Transportation
persihable,17,1,37513,Transportation
policy,14,1,38500,Transportation
policy,18,1,92708,Transportation
polutry,17,1,92727,Transportation
port,19,1,21480,Transportation
ports,19,1,79950,Transportation
pricing,18,1,92708,Transportation
product,18,1,83500,Transportation
production,16,1,43000,Transportation
products,18,2,255792,Transportation
products_uc,17,1,37513,Transportation
profile,16,1,43000,Transportation
program,18,1,14700,Transportation
project,12,1,254000,Transportation
project,18,1,14700,Transportation
protecting,17,1,34870,Transportation
publication,17,1,37513,Transportation
rail,16,1,118000,Transportation
rail,17,2,94724,Transportation
rail,18,2,185644,Transportation
railraod,14,1,35000,Transportation
railroad,14,2,86432,Transportation
railroad,16,1,43000,Transportation
railroad,17,3,422249,Transportation
railroad,18,3,228800,Transportation
railroads,19,1,78650,Transportation
rates,14,1,35000,Transportation
rates,17,1,118705,Transportation
redesign,18,1,89142,Transportation
refrigerated,17,1,37513,Transportation
regional,14,1,62958,Transportation
related,18,1,185700,Transportation
relative,18,1,14700,Transportation
report,14,2,65000,Transportation
report,15,2,79000,Transportation
report,16,1,25000,Transportation
report,17,2,112000,Transportation
report,18,2,114142,Transportation
report,19,3,133480,Transportation
reports,16,1,63000,Transportation
reports,18,1,81000,Transportation
repositioning,16,1,63540,Transportation
research,14,1,38500,Transportation
research,15,1,38750,Transportation
revenue,14,1,51432,Transportation
revising,17,1,34870,Transportation
river,17,1,92727,Transportation
roadway,18,1,14700,Transportation
route,12,1,254000,Transportation
scale,18,1,92708,Transportation
series,17,1,37513,Transportation
served,18,1,83500,Transportation
shipper,14,1,45000,Transportation
shipper,15,1,54000,Transportation
shipper,16,1,63000,Transportation
shipper,18,1,81000,Transportation
shipper,19,1,81000,Transportation
shippers,17,1,81000,Transportation
shippers,18,1,66000,Transportation
shipping,16,1,118000,Transportation
short,16,1,43000,Transportation
significance,18,1,185700,Transportation
sizes,18,1,83500,Transportation
south,19,1,97832,Transportation
soybean,14,1,20000,Transportation
soybean,15,3,158646,Transportation
soybean,16,1,25000,Transportation
soybean,17,1,31000,Transportation
soybean,18,2,77427,Transportation
soybean,19,2,128832,Transportation
soybeans,18,1,185700,Transportation
soybeans,19,1,21480,Transportation
spatial,18,1,66000,Transportation
special,19,1,21480,Transportation
structure,17,1,33000,Transportation
study,14,1,62958,Transportation
study,17,1,80387,Transportation
study,18,1,52427,Transportation
summary,14,1,45000,Transportation
summary,15,1,54000,Transportation
summary,16,1,63000,Transportation
summary,17,1,81000,Transportation
summary,18,1,81000,Transportation
summary,19,1,81000,Transportation
supply,15,1,80000,Transportation
supply,19,1,21480,Transportation
support,12,1,22500,Transportation
survey,18,1,89142,Transportation
survey,19,1,155794,Transportation
system,16,1,63800,Transportation
time,16,1,63800,Transportation
tracking,16,1,63800,Transportation
trailer,17,1,37513,Transportation
tranportation,14,1,62958,Transportation
tranportation,15,1,38750,Transportation
transport,15,1,85146,Transportation
transport,17,2,72383,Transportation
transportaion,18,1,25000,Transportation
transportation,14,4,118500,Transportation
transportation,15,1,25000,Transportation
transportation,16,5,238978,Transportation
transportation,17,5,263716,Transportation
transportation,18,4,416411,Transportation
transportation,19,4,306106,Transportation
truck,17,1,34870,Transportation
truck,18,3,238642,Transportation
truck,19,1,155794,Transportation
u.s,16,1,63800,Transportation
u.s,18,1,96000,Transportation
uc,17,1,37513,Transportation
ukraine,19,1,21480,Transportation
uncovering,18,1,52427,Transportation
updating,17,1,37513,Transportation
usda,12,2,276500,Transportation
usda,17,1,34870,Transportation
waterway,15,1,85146,Transportation
waterways,18,1,96000,Transportation
web,18,1,14700,Transportation
weights,18,1,83500,Transportation
wheat,14,1,35000,Transportation
wheat,19,1,21480,Transportation
workshop,14,1,45000,Transportation
workshop,15,1,54000,Transportation
workshops,16,1,63000,Transportation
workshops,17,3,453119,Transportation
workshops,18,1,81000,Transportation
workshops,19,1,81000,Transportation
